楼盘名称,房价(元/平方米),楼盘位置,建成年份,附近地铁站
雷苑小区,暂无,江岸/百步亭,未知年建成,无地铁
西马路11到13号,暂无,江岸/台北香港路,未知年建成,近地铁1号线大智路站
尚都一品尚邸,暂无,江岸/塔子湖,2013年建成,无地铁
空间贵族,暂无,江岸/前进江汉,2006年建成,近地铁2号线江汉路站
三眼桥路134到140号,暂无,江岸/育才花桥,1998年建成,近地铁3号线香港路站
马祖路9到13号,暂无,江岸/台北香港路,1998年建成,近地铁6号线苗栗路站
三眼桥四村3号,暂无,江岸/育才花桥,未知年建成,无地铁
空中花园,暂无,江岸/大智路,未知年建成,无地铁
苗栗路107号至111号,暂无,江岸/台北香港路,未知年建成,无地铁
光华路4号,暂无,江岸/黄埔永清,未知年建成,无地铁
花蕙社区,暂无,江岸/黄埔永清,未知年建成,无地铁
张自忠小路5号,暂无,江岸/黄埔永清,未知年建成,无地铁
马祖路89号,暂无,江岸/台北香港路,未知年建成,无地铁
瑞祥楼,暂无,江岸/三阳路,未知年建成,无地铁
力腾乐荟,暂无,江岸/二七,未知年建成,无地铁
塔子湖锦绣家园馨竹苑,暂无,江岸/塔子湖,未知年建成,无地铁
惠康居,暂无,江岸/百步亭,未知年建成,无地铁
新五冷小区,暂无,江岸/后湖,未知年建成,无地铁
仁恒公园世纪,暂无,江岸/塔子湖,未知年建成,无地铁
中信泰富滨江金融城,暂无,江岸/二七,未知年建成,无地铁
汉口花园清桐阁,20645,江岸/塔子湖,2008年建成,近地铁6号线石桥站
新地东方花都A区,16496,江岸/后湖,1995年建成,近地铁8号线中一路站
天上人间,15544,江岸/后湖,2002年建成,近地铁3号线兴业路站
银泰御华园一期,21822,江岸/百步亭,2013年建成,近地铁3号线兴业路站
同鑫花园,18721,江岸/后湖,2007年建成,近地铁3号线后湖大道站
七星香山花园,17125,江岸/后湖,2006年建成,近地铁阳逻线后湖大道站
后湖生态花园荷花苑,13060,江岸/后湖,1999年建成,近地铁8号线中一路站
海安公寓,15869,江岸/后湖,1990年建成,近地铁8号线竹叶山站
盛景花园,暂无,江岸/后湖,2011年建成,无地铁
武华苑,16770,江岸/后湖,2002年建成,近地铁8号线竹叶山站
百步华庭,18962,江岸/百步亭,2006年建成,近地铁阳逻线百步亭花园路站
百合苑,17094,江岸/百步亭,2003年建成,近地铁阳逻线百步亭花园路站
惠民居,暂无,江岸/百步亭,未知年建成,近地铁阳逻线百步亭花园路站
怡和苑北区,18958,江岸/百步亭,2004年建成,近地铁3号线兴业路站
竹叶苑,14487,江岸/后湖,2006年建成,近地铁3号线兴业路站
同鑫花园景福苑,18030,江岸/后湖,2006年建成,近地铁阳逻线后湖大道站
华森佳园,暂无,江岸/百步亭,未知年建成,近地铁1号线新荣站
现代城三区,21328,江岸/百步亭,2013年建成,近地铁1号线丹水池站
秀泽园南区,17007,江岸/百步亭,2004年建成,近地铁阳逻线新荣客运站站
景兰苑,17309,江岸/百步亭,2008年建成,近地铁阳逻线百步亭花园路站
百步亭花园世博园,24544,江岸/百步亭,2005年建成,近地铁阳逻线百步亭花园路站
惠济社区,20216,江岸/育才花桥,1990年建成,近地铁3号线惠济二路站
协昌花园,16262,江岸/育才花桥,2001年建成,近地铁8号线竹叶山站
金色华府,33906,江岸/育才花桥,2006年建成,近地铁3号线香港路站
永成大厦,20967,江岸/育才花桥,1998年建成,近地铁3号线惠济二路站
望才里,15337,江岸/唐家墩,1993年建成,近地铁8号线竹叶山站
花桥黄浦社区,16100,江岸/育才花桥,1998年建成,近地铁8号线赵家条站
育才一村,19777,江岸/育才花桥,1995年建成,近地铁3号线惠济二路站
新大地花园,19208,江岸/二七,1999年建成,近地铁3号线二七小路站
王府花园,31330,江岸/育才花桥,2005年建成,近地铁3号线香港路站
宝岛公寓,18505,江岸/台北香港路,1995年建成,近地铁6号线苗栗路站
建银小区,17114,江岸/台北香港路,1995年建成,近地铁3号线香港路站
惠西小区,19391,江岸/台北香港路,1995年建成,近地铁3号线香港路站
莹湖公寓,暂无,江岸/台北香港路,1998年建成,近地铁1号线利济北路站
台北一路,18427,江岸/台北香港路,1995年建成,近地铁6号线苗栗路站
招银苑,17947,江岸/台北香港路,2002年建成,近地铁6号线苗栗路站
中奇香港花园,24309,江岸/台北香港路,2006年建成,近地铁6号线苗栗路站
周家墩,暂无,江岸/台北香港路,1992年建成,近地铁6号线苗栗路站
汉口花园幽兰居,19197,江岸/塔子湖,2010年建成,近地铁6号线杨汊湖站
黄浦花园,17553,江岸/黄埔永清,1999年建成,近地铁8号线赵家条站
建设新村,18662,江岸/百步亭,1988年建成,无地铁
军供小区,16057,江岸/黄埔永清,2003年建成,近地铁8号线赵家条站
宝岛公寓,18505,江岸/台北香港路,1995年建成,近地铁6号线苗栗路站
建银小区,17114,江岸/台北香港路,1995年建成,近地铁3号线香港路站
航天双城,28870,江岸/二七,2009年建成,近地铁1号线二七路站
长航村小区,暂无,江岸/台北香港路,1992年建成,近地铁6号线苗栗路站
华清园,35164,江岸/三阳路,2005年建成,近地铁1号线三阳路站
高雄路107号,17110,江岸/台北香港路,1998年建成,近地铁3号线香港路站
开源阳光城,21137,江岸/台北香港路,2003年建成,近地铁6号线苗栗路站
丹西社区,暂无,江岸/百步亭,未知年建成,近地铁1号线丹水池站
E品国际,19945,江岸/三阳路,2008年建成,近地铁1号线大智路站
六合路,24245,江岸/三阳路,1998年建成,近地铁1号线三阳路站
六合新界,37993,江岸/三阳路,2006年建成,近地铁1号线三阳路站
洞庭街123号,24605,江岸/三阳路,2004年建成,近地铁1号线大智路站
新长江国际,30375,江岸/三阳路,2009年建成,近地铁1号线三阳路站
阳春阁社区,20053,江岸/三阳路,1998年建成,近地铁1号线三阳路站
楚乐戏苑,19637,江岸/黄埔永清,1999年建成,近地铁8号线黄浦路站
标达花园,18008,江岸/大智路,2000年建成,近地铁1号线大智路站
大智路,暂无,江岸/大智路,2011年建成,近地铁1号线大智路站
日月星城,19978,江岸/塔子湖,2006年建成,近地铁8号线中一路站
惠济路41号,22649,江岸/黄埔永清,1998年建成,近地铁3号线惠济二路站
惠中社区,22010,江岸/黄埔永清,1996年建成,近地铁3号线惠济二路站
永清路31号,22034,江岸/黄埔永清,1993年建成,近地铁8号线赵家条站
利源公寓,19957,江岸/台北香港路,1999年建成,无地铁
台北路95到101号,暂无,江岸/台北香港路,2001年建成,无地铁
艺树家,25639,江岸/台北香港路,2003年建成,无地铁
云林街,18179,江岸/台北香港路,1995年建成,近地铁3号线菱角湖站
江汉北路10号,暂无,江岸/台北香港路,1998年建成,近地铁1号线循礼门站
解放大道1417到1423号,暂无,江岸/台北香港路,1998年建成,近地铁1号线循礼门站
艺树家,25639,江岸/台北香港路,2003年建成,无地铁
云林街,18179,江岸/台北香港路,1995年建成,近地铁3号线菱角湖站
江汉北路10号,暂无,江岸/台北香港路,1998年建成,近地铁1号线循礼门站
绿缘路,18611,江岸/黄埔永清,未知年建成,近地铁1号线三阳路站
球场路16到50号,18718,江岸/台北香港路,1998年建成,近地铁6号线苗栗路站
三星阳景园,23527,江岸/台北香港路,2003年建成,近地铁1号线三阳路站
安静社区红艳村,19127,江岸/前进江汉,2007年建成,近地铁1号线循礼门站
昌盛小区,16977,江岸/二七,1997年建成,近地铁3号线二七小路站
解放大道1417到1423号,暂无,江岸/台北香港路,1998年建成,近地铁1号线循礼门站
模范三村,暂无,江岸/台北香港路,1996年建成,近地铁6号线苗栗路站
时代豪苑,31524,江岸/三阳路,2007年建成,无地铁
武汉天地一期A7,56107,江岸/黄埔永清,2011年建成,近地铁8号线黄浦路站
翰林紫园,31131,江岸/二七,2015年建成,近地铁3号线罗家庄站
台北一路客运宿舍,17875,江岸/台北香港路,1995年建成,无地铁
台北沁园,28959,江岸/台北香港路,2011年建成,近地铁6号线苗栗路站
武汉天地三期,60453,江岸/黄埔永清,2011年建成,近地铁1号线黄浦路站
武汉天地四期B13,55902,江岸/黄埔永清,2014年建成,近地铁1号线大智路站
